sale_price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Plot length,total_area,year_sold,month_sold,date_sold,Years Since Renovation,condition_of_the_house_Excellent,condition_of_the_house_Fair,condition_of_the_house_Good,condition_of_the_house_Okay,ever_renovated_Yes,waterfront_view_Yes,zipcode_group_zipcode_group_1,zipcode_group_zipcode_group_2,zipcode_group_zipcode_group_3,zipcode_group_zipcode_group_4,zipcode_group_zipcode_group_5,zipcode_group_zipcode_group_6,zipcode_group_zipcode_group_7,zipcode_group_zipcode_group_8,zipcode_group_zipcode_group_9
221900.0,3,1.0,1180.0,5650.0,1.0,0,7,1180.0,0,63,47.5112,-122.257,1340.0,5650,34.351128074635334,6830.0,2017,10,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
538000.0,3,2.25,2570.0,7242.0,2.0,0,7,2170.0,400,67,47.721,-122.319,1690.0,7639,50.69516742254631,9812.0,2017,12,31,26,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
180000.0,2,1.0,770.0,10000.0,1.0,0,6,770.0,0,85,47.7379,-122.233,2720.0,8062,27.748873851023216,10770.0,2016,2,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
604000.0,4,3.0,1960.0,5000.0,1.0,0,7,1050.0,910,53,47.5208,-122.393,1360.0,5000,44.27188724235731,6960.0,2017,12,31,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
510000.0,3,2.0,1680.0,8080.0,1.0,0,8,1680.0,0,31,47.6168,-122.045,1800.0,7503,40.98780306383839,9760.0,2016,2,29,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1129575.0,4,4.5,5420.0,101930.0,1.0,0,10,3890.0,1530,17,47.6561,-122.005,4760.0,101930,73.62064927722385,107350.0,2017,5,31,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
257500.0,3,2.25,1715.0,6819.0,2.0,0,7,1715.0,0,23,47.3097,-122.327,2238.0,6819,41.41255848169731,8534.0,2017,6,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291850.0,3,1.5,1060.0,9711.0,1.0,0,7,1060.0,0,55,47.4095,-122.315,1650.0,9711,32.55764119219941,10771.0,2016,1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229500.0,3,1.0,1780.0,7470.0,1.0,0,7,1050.0,730,58,47.5123,-122.337,1780.0,8113,42.190046219457976,9250.0,2016,4,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
323000.0,3,2.5,1890.0,6560.0,2.0,0,7,1890.0,0,15,47.3684,-122.031,2390.0,7570,43.47413023856832,8450.0,2016,3,31,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
662500.0,3,2.5,3560.0,9796.0,1.0,0,8,1860.0,1700,53,47.6007,-122.145,2210.0,8925,59.6657355607052,13356.0,2016,4,30,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
468000.0,2,1.0,1160.0,6000.0,1.0,0,7,860.0,300,76,47.69,-122.292,1330.0,6000,34.058772731852805,7160.0,2017,5,31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
310000.0,3,1.0,1430.0,19901.0,1.5,0,7,1430.0,0,91,47.7558,-122.229,1780.0,12697,37.81534080237808,21331.0,2017,5,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
400000.0,3,1.75,1370.0,9680.0,1.0,0,7,1370.0,0,41,47.6127,-122.045,1370.0,10208,37.01351104664349,11050.0,2017,10,31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
530000.0,5,2.0,1810.0,4850.0,1.5,0,7,1810.0,0,118,47.67,-122.394,1360.0,4850,42.5440947723653,6660.0,2016,3,31,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
